Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
08/10/2018 02:10:00 PM,08/10/2018 02:10:00 PM,Manhattan,Central Park,Path not far from Oak Bridge. Nearest cross street West 76th and CPW,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1602446919,ACC,1,false,false,,,false,false,37743
08/10/2018 09:45:00 AM,08/10/2018 09:50:00 AM,Manhattan,Central  Park,Ramble not far from the Boathouse. Nearest cross street East 72nd and 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601537253,ACC,1,false,false,,,false,false,37704
08/10/2018 09:30:00 AM,08/10/2018 09:30:00 AM,Manhattan,Central Park,Cherry Hill. Nearest cross street West 72nd CPW,Raccoon,Employee,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601537251,ACC,1,false,false,,,false,false,37703
08/10/2018 09:00:00 AM,08/10/2018 09:10:00 AM,Manhattan,Central Park,Delecorte Theater stage. Nearest Cross Street West 81st and CPW,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601537250,ACC,1,false,false,,,false,false,37702
08/10/2018 01:30:00 PM,08/10/2018 01:35:00 PM,Staten Island,South Beach,On beach near Atlantic Ave.,Gull,Employee,Native,Unhealthy,0.25,Juvenile,Birds,1-1-1601746282,ACC,1,false,false,,,false,false,
08/09/2018 10:00:00 PM,08/10/2018 09:45:00 AM,Brooklyn,Prospect Park,Harmony Playground,Red Tail,Employee,Native,,12,Juvenile,Raptors,,Unfounded,1,false,false,,,false,false,
08/10/2018 09:10:00 AM,08/10/2018 09:20:00 AM,Queens,Fort Totten Park,In front of the pool near Story Rd,Raccoon,Central,Native,Healthy,0.75,Adult;#Juvenile,Small Mammals-RVS,1-1-1602446910,Relocated/Condition Corrected,3,false,false,,,false,false,
08/09/2018 04:45:00 PM,08/09/2018 04:56:00 PM,Manhattan,Central Park,West 105th and CPW Entrance to the park,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601533143,ACC,1,false,false,,,false,false,37653
08/09/2018 06:10:00 PM,08/09/2018 06:10:00 PM,Manhattan,Central Park,The Lake at the Ladies Pavilion (W 75th St and CPW),Raccoon,Central,Native,DOA,0,Adult,Small Mammals-RVS,N/A,Relocated/Condition Corrected,1,false,false,,,false,false,
08/09/2018 04:30:00 PM,08/09/2018 04:45:00 PM,Manhattan,Central Park,The Loeb Boathouse E 72nd St and 5th Ave,Raccoon,Other,Native,N/A,1,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
08/09/2018 02:30:00 PM,08/09/2018 02:45:00 PM,Manhattan,Central Park,96St Transverse on the drive/ sidewalk,Raccoon,Public,Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-1599539412,ACC,1,false,false,,,false,false,37639
